Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
www.facet,1,1,20,36,12.00,https://www.facet.net/,4,1.37,48.00,0.13,140000000,"[0,100,100,100,100,100,100,100,100,100,100,100]",2023-09-09,"Image pack, Sitelinks, Reviews, Ads top",navigational,Organic
facet utah,1,1,20,30,13.20,https://www.facet.net/,16,5.51,211.00,0.14,4570000,"[14,9,9,9,9,9,9,9,9,9,9,9]",2023-08-26,"Knowledge panel, Image pack, Sitelinks, Reviews, Related searches","informational, transactional",Organic
facet recruiting,1,1,30,22,7.19,https://www.facet.net/,7,2.41,50.00,0.09,5860000,"[41,29,29,11,11,11,11,11,11,11,11,11]",2023-09-05,"Image pack, Sitelinks, Reviews, Jobs search, People also ask, Indented, Related searches",navigational,Organic
facet company,1,1,110,39,13.40,https://www.facet.net/,27,9.31,361.00,0.15,83800000,"[34,43,34,43,28,28,43,34,28,34,43,34]",2023-09-12,"Sitelinks, Reviews, Ads top, Jobs search, People also ask, Related searches",navigational,Organic
facet jobs,1,1,30,21,0.00,https://www.facet.net/,7,2.41,0.00,0.02,13200000,"[28,21,35,7,7,7,14,100,14,7,14,14]",2023-08-27,"Image pack, Sitelinks, Reviews, Jobs search, Related searches",commercial,Organic
facet lehi,1,1,20,30,12.00,https://www.facet.net/contact,16,5.51,192.00,0.12,68,"[28,42,28,28,28,28,28,28,0,28,28,28]",2023-08-26,"Knowledge panel, Image pack, Reviews, People also ask, Related searches","navigational, transactional",Organic
facet llc,2,2,20,22,12.00,https://www.facet.net/,2,0.68,24.00,0.11,7850000,"[18,18,27,18,18,18,18,18,18,18,18,18]",2023-09-09,"Local pack, Reviews, Related searches",navigational,Organic
facet software,2,2,40,34,6.38,https://www.facet.net/,1,0.34,6.00,0.06,22600000,"[55,77,55,100,33,11,11,22,22,33,22,33]",2023-09-02,"Image pack, Sitelinks, Reviews, People also ask, Related searches",informational,Organic
facet lehi,2,2,20,30,12.00,https://www.facet.net/,0,0,0.00,0.12,68,"[28,42,28,28,28,28,28,28,0,28,28,28]",2023-08-26,"Knowledge panel, Image pack, Reviews, People also ask, Related searches","navigational, transactional",Organic
facet careers,3,3,40,28,0.00,https://www.facet.net/,0,0,0.00,0.01,21700000,"[23,29,29,11,11,11,11,11,11,11,64,64]",2023-08-24,"Image pack, Sitelinks, Jobs search, People also ask, Related searches",commercial,Organic
facet website,3,3,390,57,0.00,https://www.facet.net/,3,1.03,0.00,0,63100000,"[4,4,3,16,11,16,16,20,20,20,13,13]",2023-09-12,"Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches",informational,Organic
facet jobs,3,3,30,21,0.00,https://app.facet.net/jobs/search,2,0.68,0.00,0.02,13200000,"[28,21,35,7,7,7,14,100,14,7,14,14]",2023-08-27,"Image pack, Sitelinks, Reviews, Jobs search, Related searches",commercial,Organic
facet careers,4,4,40,28,0.00,https://app.facet.net/jobs/search,0,0,0.00,0.01,21700000,"[23,29,29,11,11,11,11,11,11,11,64,64]",2023-08-24,"Image pack, Sitelinks, Jobs search, People also ask, Related searches",commercial,Organic
1441 w innovation way,4,4,70,4,0.00,https://www.facet.net/contact,3,1.03,0.00,0.01,989000,"[100,64,64,64,11,64,11,11,11,11,11,11]",2023-09-17,"Reviews, Image, Indented, Address pack, Related searches",informational,Organic
facet.,4,4,40,69,9.93,https://www.facet.net/,0,0,0.00,0.07,478000000,"[0,0,0,0,0,100,0,0,0,0,0,0]",2023-08-31,"Instant answer, Sitelinks, Ads top, People also ask, Related searches",navigational,Organic
facetg,5,5,20,64,9.93,https://www.facet.net/,0,0,0.00,0.07,418000000,"[0,0,0,0,0,0,0,0,100,0,0,0]",2023-09-09,"Instant answer, Ads bottom, People also ask, Related searches","informational, navigational",Organic
facet engineering,6,6,30,34,0.00,https://www.facet.net/,0,0,0.00,0.03,26500000,"[11,11,11,11,11,11,64,11,11,11,11,11]",2023-08-27,"Knowledge panel, Image pack, Sitelinks, Reviews, Related searches",navigational,Organic
facet com,6,6,50,55,8.96,https://www.facet.net/,0,0,0.00,0.3,338000000,"[18,18,100,27,100,63,45,63,36,36,63,36]",2023-08-25,"Image pack, Sitelinks, Reviews, Ads bottom, People also ask, Indented, Related searches",navigational,Organic
facet,6,6,40500,83,9.93,https://www.facet.net/,202,69.65,2005.00,0.07,348000000,"[66,81,81,81,54,81,100,54,66,44,54,54]",2023-09-19,"Instant answer, Sitelinks, Reviews, Ads top, People also ask, Related searches",navigational,Organic
facetr,6,6,30,64,9.93,https://www.facet.net/,0,0,0.00,0.07,393000000,"[0,0,0,0,52,100,0,0,0,0,0,0]",2023-09-09,"Instant answer, Reviews, People also ask, Related searches","informational, navigational",Organic
edge talent,7,7,50,18,0.00,https://www.facet.net/edge-talent,0,0,0.00,0,401000000,"[5,5,5,5,5,5,28,28,28,28,5,28]",2023-09-17,"Image pack, Sitelinks, Reviews, Video Carousel, Related searches",navigational,Organic
facet utah,10,10,20,30,13.20,https://www.facet.net/,0,0,0.00,0.14,4570000,"[14,9,9,9,9,9,9,9,9,9,9,9]",2023-08-26,"Knowledge panel, Image pack, Sitelinks, Reviews, Related searches","informational, transactional",Knowledge panel
unlimited pto is a scam,10,10,40,46,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0,6380000,"[18,18,18,27,18,100,36,36,27,27,36,36]",2023-09-01,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Indented, Related searches",informational,Organic
facet lehi,10,10,20,30,12.00,https://www.facet.net/,0,0,0.00,0.12,68,"[28,42,28,28,28,28,28,28,0,28,28,28]",2023-08-26,"Knowledge panel, Image pack, Reviews, People also ask, Related searches","navigational, transactional",Knowledge panel
is unlimited pto a scam,11,11,30,45,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0,399000,"[28,28,57,28,28,100,42,57,42,28,28,42]",2023-09-11,"Sitelinks, Video, Featured snippet, People also ask, Indented, Related searches",informational,Organic
unlimited pto scam,13,13,90,50,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0,352000,"[21,21,21,21,28,81,34,28,28,21,28,21]",2023-09-07,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Indented, Related searches",informational,Organic
